iter	Passed	Remaining
364	2740	1013
365	2748	1006
366	2755	998
367	2763	991
368	2771	983
369	2778	976
370	2785	968
371	2791	960
372	2798	952
373	2806	945
374	2813	937
375	2820	930
376	2827	922
377	2834	914
378	2840	906
379	2847	899
380	2854	891
381	2861	883
382	2868	876
383	2875	868
384	2882	861
385	2889	853
386	2897	845
387	2904	838
388	2910	830
389	2917	822
390	2923	815
391	2930	807
392	2937	799
393	2944	792
394	2951	784
395	2958	776
396	2964	769
397	2971	761
398	2978	754
399	2986	746
400	2993	739
401	3000	731
402	3007	723
403	3014	716
404	3023	709
405	3030	701
406	3037	694
407	3044	686
408	3051	678
409	3057	671
410	3064	663
411	3071	656
412	3079	648
413	3086	641
414	3093	633
415	3100	626
416	3107	618
417	3114	610
418	3121	603
419	3129	596
420	3136	588
421	3144	581
422	3151	573
423	3159	566
424	3166	558
425	3173	551
426	3180	543
427	3187	536
428	3193	528
429	3200	520
430	3206	513
431	3213	505
432	3220	498
433	3228	491
434	3236	483
435	3244	476
436	3252	468
437	3259	461
438	3267	454
439	3274	446
440	3281	439
441	3287	431
442	3294	423
443	3302	416
444	3309	409
445	3316	401
446	3323	394
447	3330	386
448	3337	379
449	3345	371
450	3352	364
451	3359	356
452	3367	349
453	3373	341
454	3380	334
455	3387	326
456	3394	319
457	3400	311
458	3407	304
459	3414	296
460	3419	289
461	3426	281
462	3433	274
463	3441	266
464	3448	259
465	3454	252
466	3461	244
467	3469	237
468	3476	229
469	3483	222
470	3490	214
471	3498	207
472	3505	200
473	3512	192
474	3519	185
475	3525	177
476	3533	170
477	3540	162
478	3547	155
479	3554	148
480	3562	140
481	3568	133
482	3575	125
483	3583	118
484	3590	111
485	3597	103
486	3604	96
487	3611	88
488	3617	81
489	3624	73
490	3632	66
491	3638	59
492	3645	51
493	3653	44
494	3660	36
495	3667	29
496	3674	22
497	3681	14
498	3688	7
499	3695	0
